Entry_No,Sample_ID,Reference Doi,Reference Short,Rocktype,Craton,Country,Specific Location,Mineral,Garnet_type,SiO2,TiO2,Al2O3,CaO,Cr2O3,FeO,Fe2O3,MgO,MnO,Na2O,Ni,Sr,T,P
7166,IDM-L35,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G9,42.79,0.1,20.62,5.58,4.22,7.471,0.188,19.94,0.39,0.01,,,952.99,39.9
7170,IDM-L37,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G11,41.21,0.88,17.29,6.54,7.15,6.255,0.183,19.93,0.28,0.06,,,1305.5,45.25
7176,IDM-L39,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G9,42.08,0.05,21.1,5.55,3.43,7.462,0.186,20.12,0.37,0,,,938.74,38.35
7180,IDM-L40,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G9,42.32,0.34,20.36,5.4,4.1,7.392,0.187,20.35,0.36,0.03,,,1165.46,49.21
7183,IDM-L41,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G9,43.1,0.35,21.63,4.69,2.39,7.46,0.189,20.93,0.35,0.04,,,988.16,39.35
7187,IDM-L42,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G11,42.23,0.34,20.96,5.05,4.18,6.271,0.188,20.96,0.34,0.03,,,994.88,39.26
7190,IDM-L43,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G9,41.67,0.1,20.49,5.79,4.66,6.813,0.353,20.33,0.4,0.01,,,1021.34,42.34
7194,IDM-L46,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G11,41.85,0.46,19.56,5.89,5.31,6.632,0.186,20.48,0.34,0.04,,,1110.84,48.23
7198,IDM-L47,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G9,42.6,0.11,20.71,5.68,5.68,7.069,0.19,20.41,0.4,0.01,,,976.73,40.72
7202,IDM-L49,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G9,42.51,0.19,20.77,5.5,3.95,7.52,0.189,20.77,0.37,0.01,,,1192.38,44.97
7206,IDM-L50,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1975,Garnet lherzolite,Kalahari,South Africa,Louwrensia,Garnet,G9,43.44,0.03,22.1,5.49,2.74,7.609,0.19,20.01,0.45,0,,,855.49,30.2
7210,IMD-102,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1979,Garnet lherzolite,Kalahari,Lesotho,Kao,Garnet,G11,43.18,0.4,19.47,4.81,2.99,7.852,0.186,20.9,0.38,0.01,,,1106.61,50.62
7228,IMD-125,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1979,Garnet lherzolite,Kalahari,Lesotho,Kao,Garnet,G9,41.38,0.09,17.89,5.47,5.63,6.272,0.731,21.45,0.31,0.05,,,1431.77,60.16
7231,IMD-130,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1979,Garnet harzburgite,Kalahari,Lesotho,Kao,Garnet,G9,41.97,0.13,19.37,5.21,4.42,6.597,0.692,21.06,0.3,0.04,,,1194.01,53.16
7235,IMD-133,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1979,Garnet lherzolite,Kalahari,Lesotho,Kao,Garnet,G9,42.28,0.06,17.61,6.11,5.86,7.347,0.593,20.14,0.34,0.04,,,1095.83,54.06
7246,IMD-153,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1979,Garnet lherzolite,Kalahari,Lesotho,Kao,Garnet,G9,41.73,0.06,16.59,6.81,7.65,6.065,0.462,20.04,0.33,0.02,,,1100.71,51.07
7249,IMD-157,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1979,Garnet lherzolite,Kalahari,Lesotho,Kao,Garnet,G9,42.59,0.07,19.12,5.05,3.08,8.335,0.184,20.25,0.45,0.04,,,791.89,24.4
7253,IMD-163,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1979,Garnet lherzolite,Kalahari,Lesotho,Kao,Garnet,G11,40.9,0.48,19.18,4.9,4.06,6.443,0.73,21.46,0.28,0.07,,,1266.62,52.08
7261,IMD-204,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1979,Garnet lherzolite,Kalahari,Lesotho,Kao,Garnet,G11,43.01,0.9,21.06,4.58,2.11,9.789,0.189,20.39,0.33,0.11,,,1155.52,45.97
7264,IMD-209,https://doi.org/10.1016/B978-0-08-018017-5.50036-5,MacGregor 1979,Garnet spinel harzburgite,Kalahari,Lesotho,Kao,Garnet,G10,42.59,0.02,17.48,4.38,9.53,6.37,0.189,21.8,0.38,0.01,,,946.15,40.73
7281,J-010,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet spinel harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.51,0.01,22.14,4.98,2.29,7.708,0.458,20.15,0.54,0.02,,,790.41,31.39
7290,J-017,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet spinel websterite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.38,0.02,22,5.59,2.13,11.785,0.184,17.05,0.42,,,,752.16,33.43
7297,J-019,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.46,0,18.69,5.61,5.83,6.313,0.186,21.08,0.21,,,,1245.98,53.92
7311,J-024,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.23,0,22.24,4.83,2.37,8.802,0.187,19.54,0.4,,,,792.13,36.17
7319,J-026,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.81,0,20.77,4.89,2.96,6.741,0.187,21.5,0.25,,,,1281.52,60.81
7323,J-027,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet spinel lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.82,0,21.87,5.15,2.73,7.743,0.185,19.8,0.37,,,,763.3,33.31
7327,J-028,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet spinel lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.67,0,21.69,4.91,3.07,9.083,0.186,19.35,0.43,,,,798.5,35.64
7332,J-029,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.64,0,16.41,5.83,7.64,6.847,0.525,20.31,0.25,,,,1171.87,73.05
7336,J-030,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.93,0,22.05,5.16,2.05,9.363,0.186,19.09,0.53,,,,834.31,41.94
7347,J-035,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,42.2,0.47,20.44,4.54,3.03,7.123,0.185,21.05,0.27,,,,1230.85,51.81
7355,J-037,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.63,0.56,19.29,4.98,4.68,6.764,0.185,21.15,0.33,,,,1166.38,47.55
7359,J-038,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,42.78,0.6,21.23,4.34,2,6.941,0.188,21.73,0.14,,,,1223.41,50.44
7362,J-043,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.99,0,17.9,5.86,7.1,6.514,0.185,20.57,0.2,,,,1253.45,58.64
7366,J-046,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.55,0.37,20.17,4.7,3.58,7.541,0.499,20.85,0.28,,,,1121.65,53.74
7370,J-047,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.86,0,21.74,4.42,1.9,7.901,0.188,21.36,0.28,,,,1290.52,64.78
7374,J-048,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,42.76,0.8,19.64,4.61,3.68,7.922,0.187,20.7,0.29,0.11,,,1281.93,51.83
7382,J-050,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.96,0,21.51,4.43,1.96,7.871,0.187,20.93,0.32,,,,1151.5,53.39
7392,J-104,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.79,0.28,18.67,5.3,6.26,6.064,0.185,21.09,0.32,,,,1182.33,48.8
7395,J-105,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.16,0.23,19.65,5.07,4.85,6.833,0.186,20.86,0.35,,,,1101.47,46.24
7398,J-107,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.74,0.52,18.68,5.22,5.58,6.004,0.184,21.22,0.32,,,,1218.57,46.94
7401,J-108,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.77,0.95,17.79,5.21,6.35,6.884,0.185,20.85,0.36,,,,1150.59,46.11
7404,J-114,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.59,0.21,19.76,5.03,4.32,6.432,0.187,21.57,0.28,,,,1207.85,50.59
7408,J-115,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,42.34,0.5,21.21,4.63,2.53,7.151,0.188,21.53,0.28,,,,1232.34,53.19
7424,J-122,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,40.43,0.48,20.33,4.77,4.28,6.864,0.741,22.08,0.31,,,,1368.18,59.78
7431,J-133,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet spinel lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.04,0,21.93,4.86,3.01,7.702,0.187,20.2,0.4,0,,,857.28,42.19
7439,J-134,"Harte, B. and Gurney, J.J., 1982, September. Compositional and textural features of peridotite nodules from the Jagersfontein kimberlite pipe, South Africa. In International Kimberlite Conference: Extended Abstracts (Vol. 3, pp. 256-257).",Harte & Gurney 1982 (KRG database),Garnet spinel lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.87,0,21.78,4.86,2.56,8.523,0.186,19.72,0.6,0,,,813,33.95
7445,J-135,UCT Thesis,Winterburn PhD 1987,Garnet spinel lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.34,0.01,22.4,5,2.55,7.591,0.187,19.95,0.48,,,,753.73,31.43
7449,J-146,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G11,40.66,0.56,14.55,7.3,10.68,6.968,0.18,18.41,0.43,,,,1127.16,55.37
7456,J-159,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.87,0,15.74,7.47,10.05,6.654,0.185,18.21,0.43,,,,1215.32,58.09
7470,JAR-07033,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet spinel lherzolite,Kalahari,South Africa,Hebron,Garnet,G9,41.66,0.13,22.23,5.22,2.9,7.372,0.187,20.1,0.36,,,,877.79,31.4
7475,JAR-07073,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet spinel lherzolite,Kalahari,South Africa,Hebron,Garnet,G9,41.47,0.05,22.46,5.38,2.24,6.844,0.184,19.57,0.41,,,,1030.33,32.83
7479,JAR-07083,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet spinel lherzolite,Kalahari,South Africa,Hebron,Garnet,G9,41.97,0.05,22.12,5.26,2.94,7.011,0.188,20.62,0.4,,,,963.81,31.56
7484,JAR-07143,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet spinel lherzolite,Kalahari,South Africa,Hebron,Garnet,G9,41.98,0,22.51,5.25,2.52,7.801,0.187,20,0.41,,,,924.44,28
7489,JAR-07163,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet lherzolite,Kalahari,South Africa,Hebron,Garnet,G9,42,0.04,22.58,5.32,2.73,7.701,0.187,19.68,0.36,,,,888.27,25.28
7493,JAR-07173,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet spinel lherzolite,Kalahari,South Africa,Hebron,Garnet,G9,41.83,0,22.81,5.54,1.82,7.932,0.186,19.43,0.45,,,,897.36,25.67
7498,JAR-07183,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet spinel lherzolite,Kalahari,South Africa,Hebron,Garnet,G9,42.03,0.11,22.94,4.93,2.03,8.011,0.188,20.2,0.39,,,,926.94,29.28
7502,JAR-08053,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet lherzolite,Kalahari,South Africa,Melton Wold,Garnet,G9,41.6,0.24,21.4,4.41,3.75,7.843,0.186,20.2,0.34,0.05,,,905.69,39.2
7505,JAR-08063,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet lherzolite,Kalahari,South Africa,Melton Wold,Garnet,G9,41.6,0.14,21.6,4.99,3.13,7.593,0.186,20.4,0.31,0,,,934.69,40.91
7508,JAR-08073,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet lherzolite,Kalahari,South Africa,Melton Wold,Garnet,G9,41.5,0.12,20.6,5.5,4.43,7.443,0.185,19.9,0.33,0.05,,,951.26,37.61
7511,JAR-08083,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet lherzolite,Kalahari,South Africa,Melton Wold,Garnet,G9,41.9,0.07,21.9,4.94,2.97,7.832,0.187,20.1,0.35,0.05,,,932.37,39.84
7514,JAR-08113,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet lherzolite,Kalahari,South Africa,Melton Wold,Garnet,G9,41.4,0.16,20.7,5.69,4.61,7.243,0.185,19.8,0.33,0,,,913.92,41.19
7517,JAR-08123,http://hdl.handle.net/11427/40488,"Robey PhD, 1981",Garnet lherzolite,Kalahari,South Africa,Melton Wold,Garnet,G9,41.3,0.1,19.8,5.93,5.69,7.574,0.184,19.1,0.3,0.05,,,906.56,40.14
7519,JJG-0164,UCT Thesis,Mofokeng Hons 1996,Garnet harzburgite,Kalahari,South Africa,Frank Smith,Garnet,G11,41.53,0.39,20.06,5.26,5.01,6.813,0.186,20.64,0.33,0.05,,,1325.11,59.56
7522,JJG-0516,UCT Thesis,Mofokeng Hons 1996,Garnet harzburgite,Kalahari,South Africa,Frank Smith,Garnet,G11,41.94,0.39,20.89,4.87,3.06,6.953,0.185,20.77,0.24,0.05,,,1229.85,50.01
7526,JJG-0703,UCT Thesis,"Smith, M.R. (Ph.D thesis, 1981)",Garnet lherzolite,Kalahari,Lesotho,Mothae,Garnet,G9,42.33,0.16,19.48,5.43,5.47,6.512,0.187,20.73,0.31,0.03,,,1256.62,51.32
7530,JJG-0706,UCT Thesis,"Smith, M.R. (Ph.D thesis, 1981)",Garnet lherzolite,Kalahari,Lesotho,Mothae,Garnet,G9,41.93,0.05,18.41,5.83,7.19,6.494,0.185,19.78,0.42,0.03,,,949.21,39.32
7535,JJG-0859,"Cox, K. G., Smith, M .R., Beswetherick, S., 1987. Textural studies of garnet lherzolites: evidence of exsolution origin from high-temperature harzburgites. In: Nixon, P. H. (ed.) Mantle Xenoliths. New York: John Wiley, 537-550. ",Cox et al 1987,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.65,0.25,19.72,5.04,4.24,6.702,0.186,21.07,0.27,0.03,,,1172.55,47.58
7542,JJG-1710,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.96,0.3,19.94,5.08,4.85,6.153,0.186,21.16,0.26,0.04,,,1181.07,43.29
7546,JJG-1713,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.97,0.55,20.24,4.7,3.9,6.153,0.185,21.13,0.27,0.1,,,1208.11,45.83
7550,JJG-1716,https://doi.org/10.1016/0016-7037(90)90322-C,Winterburn et al 1990,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.12,0.1,22.22,4.98,2.85,7.35,0.745,20.49,0.56,0.07,,,834.14,34.1
7555,JJG-1728,UCT Thesis,Winterburn PhD 1987,Garnet Lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G10,42.19,0.05,19.82,4.4,5.1,6.293,0.185,21.09,0.38,,,,854.21,32.98
7564,JJG-1753,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.99,0.73,21.98,4.34,1.8,7.812,0.187,20.84,0.27,0.1,,,1176.55,43.33
7571,JJG-1761,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G10,41.36,0.05,18.65,3.84,7.4,4.974,0.273,22.58,0.35,,,,999.83,42.79
7576,JJG-1780,UCT Thesis,Winterburn PhD 1987,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.19,0.08,19.14,4.96,6.15,6.256,0.182,20.08,0.43,,,,869.44,33.81
7584,JJG-1975,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet websterite,Kalahari,South Africa,Monastery,Garnet,G9,41.4,0.01,22.2,5.4,2.54,9.204,0.185,18.72,0.52,0.01,,,758.84,27.12
7594,JJG-4257A,UCT Thesis,Mofokeng Hons 1996,Garnet Spinel Lherzolite,Kalahari,South Africa,Frank Smith,Garnet,G9,40.73,0,20.26,5.76,4.3,10.277,0.181,17.3,0.61,0,,,793.01,39.13
7598,JJG-4259J,UCT Thesis,Mofokeng Hons 1996,Garnet harzburgite,Kalahari,South Africa,Frank Smith,Garnet,G9,42.46,0.08,21.13,5.35,3.83,6.08,0.188,21.49,0.25,0.01,,,1227.59,53.58
7601,JJG-4260A,UCT Thesis,Mofokeng Hons 1996,Garnet spinel harzburgite,Kalahari,South Africa,Frank Smith,Garnet,G9,41.94,0,22.28,4.16,2.75,7.652,0.187,20.49,0.39,0.02,,,784.69,31.11
7606,JJG-4260D,UCT Thesis,Mofokeng Hons 1996,Garnet Lherzolite,Kalahari,South Africa,Frank Smith,Garnet,G9,41.48,0.1,22.12,4.87,2.78,9.023,0.186,19.4,0.44,0.02,,,804.09,33.45
7609,JJG-4260K,UCT Thesis,Mofokeng Hons 1996,Garnet spinel harzburgite,Kalahari,South Africa,Frank Smith,Garnet,G9,41.63,0,20.9,5.19,4.45,6.893,0.185,20.05,0.39,0,,,840.99,36.66
7613,JJG-4260L,UCT Thesis,Mofokeng Hons 1996,Garnet harzburgite,Kalahari,South Africa,Frank Smith,Garnet,G9,41.87,0,20.99,4.84,4.39,6.313,0.185,20.35,0.29,0.03,,,841.26,37
7617,JJG-4260M,UCT Thesis,Mofokeng Hons 1996,Garnet Lherzolite,Kalahari,South Africa,Frank Smith,Garnet,G10,41.41,0,20.26,4.36,5.24,5.521,0.366,21.72,0.27,0.09,,,954.22,39.3
7621,JJG1417,http://hdl.handle.net/11427/22205,Lawless PhD thesis 1978,Garnet websterite,Kalahari,South Africa,Bultfontein,Garnet,G9,40.6,0.18,20.5,5.08,3.75,12.412,0.542,16.9,0.5,0.03,,,851.93,34.94
7625,JJG155,http://hdl.handle.net/11427/22205,Lawless PhD thesis 1978,Garnet lherzolite,Kalahari,South Africa,Bultfontein,Garnet,G11,41.5,1.15,19.1,4.98,4.59,7.124,0.184,20.6,0.37,0.16,,,1114.16,43.86
7629,JJG201,http://hdl.handle.net/11427/22205,Lawless PhD thesis 1978,Garnet lherzolite,Kalahari,South Africa,Bultfontein,Garnet,G9,42.3,0.02,22.1,4.49,2.16,8.211,0.188,20.8,0.36,0.01,,,829.86,33.3
7632,JJG319,http://hdl.handle.net/11427/22205,Lawless PhD thesis 1978,Garnet lherzolite,Kalahari,South Africa,Bultfontein,Garnet,G9,42.1,0.01,22.5,4.54,2.42,7.801,0.187,20.4,0.38,0.04,,,834.1,33.7
7644,JJG62,http://hdl.handle.net/11427/22205,Lawless PhD thesis 1978,Garnet spinel lherzolite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.5,0.04,21.2,4.74,3.45,9.293,0.496,19.5,0.39,0.03,,,837.53,38.94
7657,JJH-03,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.11,0.84,19.02,5.09,4.89,6.607,0.736,21.11,0.3,0.11,,,1310.91,53.26
7661,JJH-04,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.17,0.98,18.8,5.11,4.85,6.748,0.735,20.91,0.32,0.12,,,1333.66,55.44
7672,JJH-08,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.29,0.8,18.36,5.53,6.02,6.827,0.403,20.47,0.31,0.08,,,1226.2,51.74
7675,JJH-09,UCT Thesis,Hops PhD 1989,Garnet harzburgite,Kalahari,South Africa,Jagersfontein,Garnet,G9,40.3,0,15.33,7.34,10.15,6.447,0.715,18.5,0.33,0,,,1283.87,56.1
7679,JJH-10,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.59,0.63,21.25,4.56,2.78,7.043,0.186,21.08,0.26,0.08,,,1377.87,57.25
7683,JJH-11,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.92,0.67,20.25,4.71,4.21,6.422,0.187,21.59,0.25,0.08,,,1128.64,45.04
7687,JJH-12,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.52,0.9,19.15,4.88,4.74,6.185,0.705,21.43,0.26,0.12,,,1390.43,56.93
7691,JJH-13,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.97,0.53,20.74,4.69,3.59,7.612,0.186,20.72,0.31,0.08,,,1177.08,47.45
7695,JJH-14,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.27,0.26,19.47,5.78,5.37,6.646,0.349,20.21,0.31,0.04,,,1257.71,56.97
7699,JJH-15,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.66,0.46,21.48,4.54,2.39,6.807,0.37,21.34,0.24,0.07,,,1314.44,56.53
7703,JJH-17,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,41.82,0.28,21.09,5,3.33,6.752,0.186,21.09,0.29,0.04,,,1179.06,51.91
7707,JJH-18,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.44,1.1,18.49,5.24,5.73,6.681,0.221,20.89,0.3,0.13,,,1224.82,51.35
7714,JJH-20,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.4,0.47,19.41,5.37,5.17,6.725,0.372,20.62,0.28,0.06,,,1262.28,51.55
7725,JJH-29,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G10,40.73,0.45,16.61,4.92,9.37,6.307,0.181,20.14,0.31,0.07,,,1042.29,41.99
7733,JJH-32,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,42.32,0.33,20.74,4.83,3.88,6.352,0.186,20.81,0.22,0.04,,,1163.34,47.54
7737,JJH-33,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,42,0.39,19.84,5.34,4.62,6.364,0.185,20.38,0.28,0.05,,,1127.2,47.69
7741,JJH-34,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.24,0.9,20.13,4.81,3.78,7.367,0.292,20.63,0.3,0.11,,,1172.6,46.64
7745,JJH-35,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G9,40.93,0.1,19.22,6.1,6.27,6.776,0.183,19.46,0.3,0,,,1141.76,52.5
7749,JJH-36,UCT Thesis,Hops PhD 1989,Garnet lherzolite,Kalahari,South Africa,Jagersfontein,Garnet,G11,41.87,0.57,16.86,6.11,8.03,6.355,0.184,19.98,0.25,0.07,,,1282.7,54.14
